endowment_initial,previous_avg_others_binned,0.0,2.0,4.0
24,"[0,1)",0.775,0.15,0.075
24,"[1,2)",0.45714285714285713,0.4142857142857143,0.12857142857142856
24,"[2,3)",0.3702290076335878,0.40458015267175573,0.22519083969465647
24,"[3,4]",0.2807017543859649,0.39473684210526316,0.32456140350877194
30,"[0,1)",0.6218487394957983,0.2689075630252101,0.1092436974789916
30,"[1,2)",0.4177215189873418,0.34177215189873417,0.24050632911392406
30,"[2,3)",0.30317848410757947,0.3740831295843521,0.32273838630806845
30,"[3,4]",0.18292682926829268,0.4170731707317073,0.4
40,"[0,1)",0.5,0.3333333333333333,0.16666666666666666
40,"[1,2)",0.21951219512195122,0.36585365853658536,0.4146341463414634
40,"[2,3)",0.29545454545454547,0.30113636363636365,0.4034090909090909
40,"[3,4]",0.27710843373493976,0.1927710843373494,0.5301204819277109
48,"[0,1)",0.6853932584269663,0.16853932584269662,0.14606741573033707
48,"[1,2)",0.33146067415730335,0.34831460674157305,0.3202247191011236
48,"[2,3)",0.19245283018867926,0.3584905660377358,0.4490566037735849
48,"[3,4]",0.21142857142857144,0.34285714285714286,0.44571428571428573
60,"[0,1)",0.6440677966101694,0.1694915254237288,0.1864406779661017
60,"[1,2)",0.34415584415584416,0.3051948051948052,0.35064935064935066
60,"[2,3)",0.17966903073286053,0.2860520094562648,0.5342789598108747
60,"[3,4]",0.14102564102564102,0.24358974358974358,0.6153846153846154
